chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.45777962,2584.5989072594466,1900.23980786321,4602.774433024879,0.31298946639866504,-307.4642,46.522995,-58.170944,18.325438,-17.765144,-0.2760707,-26.485294,-10.7008295,-16.824158,1.7681684,-8.455004,-10.537674,13.899476,-4.6895647,-1.0251799,-3.523023,1.3518093,-4.20606,-4.2524495,-1.6067259,neg
0.24649325,1317.7814616881535,1011.9700593134318,2272.036261307566,0.13032612047697367,-440.46524,34.472572,-17.358358,8.300205,-15.542608,-6.1979375,-10.993723,-3.5096345,-9.792108,-1.4042361,-0.30940652,-5.3921657,2.5313933,-2.6391644,0.45210513,-2.019994,-2.1026232,-3.22369,-2.389127,-2.0975409,neg
0.46193108,3093.14430290847,2867.7775486840355,6965.685775432181,0.16989763408687944,-330.16867,48.49295,-3.4038029,6.413909,5.8424745,0.54251605,-7.531567,-4.4019313,-7.7490754,2.4531,-3.932692,-5.0843763,-3.490313,6.1391063,-8.511488,-7.2640123,-8.961298,1.168943,-9.41632,-7.883014,neg
0.42312354,1955.5135085678764,1978.6774934945697,3850.187534568584,0.12259028161873156,-373.93994,59.443764,0.8988942,10.01188,-15.851018,-0.13068333,0.2861375,-6.1074924,-15.797941,-2.731053,-4.2690883,-9.398586,-7.2037725,1.0454412,-7.4354877,-2.841404,-5.9800463,-5.593685,-9.27418,-4.0047603,neg
0.54267246,3250.9651790436233,2190.241543169368,5670.247594321646,0.4335308008493031,-499.89252,18.08259,-34.88809,18.830275,-20.395409,0.75587386,-9.909077,-12.711422,0.12572344,2.2151682,-6.6444836,-0.2433631,-3.9927344,-5.058788,-3.4697902,-3.49376,-2.7049174,-2.4449902,1.8751302,0.80308115,neg
0.48610744,2019.6714498238528,1887.6697523150788,3956.8008422851562,0.1670159233940972,-394.76486,69.39734,-2.1370249,15.940318,-17.709148,8.478781,-0.05016865,-3.033556,-14.480754,-7.0802393,-1.7588954,-3.7802975,1.9646208,-7.0187273,-0.83718234,-3.459579,-2.8403025,-3.7249238,-6.3630133,-7.6751566,neg
0.49294022,2105.4782568492815,1990.0496607031569,4207.328007139009,0.19350670123922414,-377.49414,46.404068,-18.04536,18.064873,-4.998807,13.422371,-12.705298,0.11533931,-13.276956,-3.069882,-1.2867415,-6.9460397,-3.6637316,-9.53913,-2.6586146,-8.896324,-5.2417235,-9.471882,-2.5035748,-6.075816,neg
0.45710573,1826.0361097002422,2274.7130032774844,3769.207763671875,0.07485020013503087,-473.9133,44.61357,8.239725,11.528569,5.8337464,8.188956,0.7087479,-2.2512345,-0.67396,0.9015633,1.9647889,-0.2804126,-1.1491339,0.9576825,2.486374,-0.34830907,-3.5496588,-3.2619226,-3.188102,-4.2925982,neg
0.42990342,1069.204711917838,1216.7019227320095,1839.0701293945312,0.06166865907866379,-400.94806,133.56523,-3.5071633,-4.46356,9.343459,-1.7680905,4.889415,8.636574,-5.911203,-7.93553,-6.159713,-1.9099631,2.729332,0.7074287,0.27526483,0.4699894,-3.8908913,-5.716661,-2.7843401,-2.1248496,neg
0.4460345,1642.4999817153848,1751.1145569527662,3135.330078125,0.1421875,-449.0476,59.37797,-18.957592,2.5074086,-9.6423025,10.677284,0.762997,-5.2216063,1.1960809,-3.6248617,-5.4035754,-9.775649,-9.142908,-7.460665,-7.6036263,-8.921206,-7.277996,-10.0243025,-8.042324,-2.7011895,neg
0.42405644,3133.203401632643,2889.3888869169414,6638.278377757353,0.1681570414624183,-346.8307,52.7507,3.8893268,-3.7205324,-15.42454,-1.4222103,-7.5418096,-9.437625,-13.927179,-7.91288,3.1447031,0.2476299,-5.572072,-4.215731,-1.2619473,-1.8999726,-5.8030906,-3.89684,-4.6163683,-5.834631,neg
0.38697645,2149.526596276387,2064.047183020449,4168.079144021739,0.21093573086503623,-410.8164,45.99954,-10.566712,13.713397,6.250598,2.2922938,-35.705887,-12.838635,-9.481729,6.164167,-4.2762265,-2.9526534,-4.7725554,-14.95502,-4.1138706,-11.651346,-6.4460564,-9.435235,-13.08869,-7.368674,neg
0.4629404,1241.3234354645833,1690.0505223703692,2280.1003689236113,0.054929832175925924,-274.94806,139.91916,10.557494,14.344567,-10.412452,-4.4427176,-0.22632378,-1.4091233,-7.0758357,2.7643642,-7.123994,-11.887331,-15.7558975,-5.9572625,-7.209211,-6.094031,-2.5239758,-2.0228875,-4.3015575,-3.700713,neg
0.4284702,1615.4961103668636,1656.7553645284977,3250.1678466796875,0.09626261393229167,-446.98746,76.07216,-7.023724,8.514393,-10.375274,2.348223,-10.950942,-1.405255,-3.881835,-1.8649057,-5.337541,-4.3338966,-0.2994316,-6.4727554,-2.947635,-7.7773395,-4.6070256,-5.483153,-2.6043975,-3.2266014,neg
0.5237175,3106.518091590017,2664.5605993272197,6126.780240333686,0.18092061705508475,-285.82675,35.722206,-5.570642,7.9824185,-6.8092747,-10.992757,-7.946807,-2.0147543,-3.9169414,14.679021,0.7106854,1.3623316,8.89362,1.1325734,5.3158236,2.2514386,0.8679904,1.0483967,-1.1340126,3.1181695,neg
0.35871553,1889.8249508214453,1563.1624113731616,3556.5673828125,0.1411154513888889,-274.53192,88.540016,-32.277504,20.864605,-43.658184,-2.02288,-22.188253,-3.3775024,-33.612656,-5.9191504,-8.66317,-26.768816,2.5197191,-7.3538914,1.1124473,-4.3087726,-1.392013,-7.776695,-1.735982,-3.847609,neg
0.45816097,2303.901839245069,2242.8523864537697,4686.2501575100805,0.19147600446428573,-370.2797,55.44817,-4.730429,1.3534358,6.420866,5.275976,-10.296936,-10.679798,-3.9221487,-2.3827639,-10.72092,-17.210146,-4.4561443,0.77482617,-7.803047,4.7061753,1.3515203,-0.7561183,1.2884772,-3.951815,neg
0.42609063,2791.304576350448,2647.921299361641,5629.929845473345,0.16396077473958334,-246.21797,74.03836,-0.27250403,-19.792877,-15.421313,14.92973,-1.2926716,-20.308252,-10.049883,-3.1852326,-7.5384307,-3.7194195,-6.2332616,-11.566026,-7.064477,3.6073272,-10.1074295,-2.837108,-6.680769,-12.140864,neg
