chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.3191803,1902.7993159104547,1733.584663382053,3856.628690166702,0.0891996877680103,-339.764,116.67072,-28.047152,55.65994,-33.872208,21.345219,-7.2872634,-4.540342,-0.6150184,-0.45414183,1.7653003,-4.4057918,0.6930766,-7.4013357,2.5681329,-14.719301,0.0812482,-6.4409266,-3.487961,-0.11184507,No PD
0.43028298,1844.18186596271,1799.803006897756,3816.178695705156,0.089931477018342,-359.03192,122.921814,-15.268263,66.844406,-29.366728,32.73056,-9.479058,11.28371,-6.2584453,-5.628967,4.332291,-9.0366955,4.9396415,-14.804379,7.9716754,-8.345894,-3.56231,-1.4467921,2.4288466,1.254822,No PD
0.37604052,1744.5200801774658,1670.6246257141565,3635.5776450034796,0.08120018806336161,-347.17502,127.89544,-33.593353,59.455296,-24.878857,19.532343,-3.7846422,8.1108675,-4.801493,-5.4577074,-0.573546,-4.896325,10.721702,-16.33086,-0.5188765,-3.9437819,1.0124211,-2.2831035,-3.0025673,-0.31478626,No PD
0.40345564,1708.4976815532657,1933.7500916416311,4044.0223743069555,0.06687799269153226,-428.28348,128.21712,-17.080158,69.31031,-30.842052,37.13008,-15.581311,18.051994,-0.6921608,-7.724285,7.028537,-7.753046,7.4587073,-11.4437065,5.01138,-9.54783,0.8625019,-5.349286,0.91321725,3.068195,No PD
0.37542063,1407.1068971296038,1639.7867562970541,2957.3033010823283,0.06028658782943809,-368.72928,138.39854,-8.98209,54.739708,-18.377888,22.485504,-10.991338,2.791691,-7.945568,-6.1467156,1.4902903,-8.742696,10.885328,-8.572532,0.052109517,-4.357285,-0.013068262,-0.94243777,0.45980564,-2.8256955,No PD
0.40886617,1817.6726398651012,1705.333904954536,3596.1717298575086,0.08625599192021874,-323.32718,117.96921,-19.27032,54.69218,-20.76334,21.397907,-12.090643,8.796264,-3.0454137,-8.049481,2.6973474,-10.29572,5.269344,-6.7563744,5.174318,-7.0099244,-3.2720692,-0.55333006,0.63033336,0.02248668,No PD
0.31537375,2142.9840801830483,1857.8583032982226,4322.73487291838,0.10553827500881109,-367.97128,95.175964,-29.126406,58.167816,-30.17864,21.116894,-7.989371,1.7091757,-1.8860905,-3.979776,3.7554598,-4.3221173,-1.3865163,-5.3681993,2.4745555,-14.913205,7.2964416,-3.7681797,0.24007927,8.15544,No PD
0.387326,1600.897290387578,1662.6223773621186,3480.8750664359836,0.061671408554353,-383.63513,125.78461,-23.870493,57.129982,-19.791296,17.667809,-0.6033151,8.312011,1.2153105,-4.1370044,1.6765431,-5.4441648,6.1951,-13.097615,-2.4009595,-1.333275,2.6972778,-2.2587347,-2.022839,0.9329232,No PD
0.4902389,1461.8536262862058,1903.3313281293026,3474.8512187025794,0.043929258741148204,-483.89706,115.51514,-6.5846014,48.537174,-18.005972,33.471527,-2.5507896,23.54088,4.5248523,8.8466215,8.943504,-4.8724895,10.474445,-6.6705103,12.144871,-1.1754378,8.69403,2.0042183,0.4872275,0.77504265,No PD
0.5227485,1444.3836534969746,1795.0016486364618,3205.80781531654,0.04739047543199901,-427.05905,78.81971,25.135546,21.518812,3.168918,12.941082,5.5756345,13.2936,9.3779335,7.0243287,8.823323,2.23636,3.8272796,1.4665327,6.6173925,4.351439,5.181889,2.732967,-0.22456223,1.7255728,No PD
0.47611973,1613.1833795754997,1908.8402986682029,3812.1579501295337,0.0541587394753886,-489.01083,117.55522,-17.681387,51.541706,-19.342852,29.130962,-3.4066699,21.91775,2.0869925,9.811591,10.754162,-3.4038227,11.02173,-5.0428777,14.442798,-0.15647686,9.81447,-0.82567924,-1.2105814,-0.13912335,No PD
0.501872,1512.9430083247814,1912.9423551952843,3557.807653090533,0.047669935391435984,-480.98096,104.711975,-1.2185149,38.807396,-14.405192,28.649553,-0.5514326,22.722223,10.135457,7.52806,10.214998,-2.6994195,8.85488,-2.3537884,11.886278,2.159893,8.870032,2.5768068,0.38192192,1.9288871,No PD
0.47464007,1533.7926809436356,1900.284646726575,3642.603877990082,0.047121324691267986,-491.5724,115.6681,-17.307415,42.70791,-17.045712,30.582506,-4.54103,23.659233,4.195465,9.039347,12.08967,-1.8943453,10.292586,-4.4132643,14.543602,0.45820078,11.483307,1.9510461,-0.01952097,1.7972561,No PD
0.4735421,1556.4014070190356,1882.3402511418644,3700.2422193444295,0.048523479959239134,-463.59424,101.435234,-7.3669243,44.27715,-14.740456,19.960829,0.0050657056,14.7071705,7.0212903,9.475078,8.993864,-2.1485257,7.9514155,-4.7381864,9.827426,3.623209,6.8269796,1.9175769,2.1057324,-0.7831762,No PD
0.48265582,1705.477193630871,1945.883135685996,3989.9508352999874,0.05854969827040041,-478.9593,107.39743,-12.418699,47.720848,-18.21528,28.661963,-3.737116,17.821278,5.0434704,8.944354,11.802767,-0.9490834,8.780856,-5.3312755,12.040586,-0.52857715,10.20219,-0.6145746,-0.98715305,3.305384,No PD
0.38002324,1525.544657844795,1621.1446989740373,3092.0277042181847,0.06556074006709892,-372.44073,130.11124,-12.015306,54.67496,-20.382841,19.97413,-5.013374,9.776963,-0.09497024,-3.8287957,2.7547383,-6.791889,4.366958,-13.992317,-0.07822171,-6.187831,-1.3308586,0.18077299,-0.23895621,0.70068353,No PD
0.34764618,1806.977280546808,1732.6840826362538,3758.652177190866,0.07636677840739078,-358.5375,115.93385,-22.034143,52.06834,-30.028496,18.495659,-1.6174783,-1.3186419,0.7942137,-1.620718,1.796497,-3.3024275,0.47812805,-5.8743334,0.19131207,-13.01494,0.7936399,-6.1249847,-2.8399599,0.09300784,No PD
0.43532377,1723.9882146082741,1841.9474691190276,3746.4368514432254,0.06927443642652671,-410.55957,125.87436,-12.256172,68.07104,-29.658169,36.340645,-11.946511,13.386226,-2.237698,-2.8233685,6.922508,-9.188878,3.6149209,-14.59549,5.5956316,-9.449615,0.12413943,-3.499177,1.4039819,2.688252,No PD
0.4271638,1633.704319509356,1929.8966235108576,3943.0300792107396,0.05488052038295244,-448.36072,127.3181,-14.503947,67.42251,-27.506134,35.952362,-13.911927,18.893873,1.3370357,-4.365476,8.250153,-8.167291,7.103347,-10.426705,3.0933423,-9.251109,2.0932922,-4.076279,2.0690153,2.1615846,No PD
0.40545535,1403.6173347484164,1677.4197706339257,3134.2926415640986,0.053886768702046034,-382.20386,129.13264,-4.8166614,52.55037,-12.712286,18.677061,-6.39498,4.3134704,-2.8873541,-6.629098,5.0295844,-5.4003916,9.015242,-4.687576,-2.3976717,-3.9695828,-0.5528359,-0.8066053,-0.08322145,-0.8899398,No PD
0.3865841,1699.1691724754078,1664.4225788815966,3347.2137682950947,0.08240147844145569,-362.57693,125.11365,-15.170918,63.313915,-21.775002,24.559496,-11.040291,13.084289,0.45283744,-6.7017345,3.6817625,-9.726542,4.3039384,-7.752549,3.8774512,-9.672171,-1.6098785,-0.89093435,1.7198496,0.8203021,No PD
0.34577236,1958.8667224944727,1878.7192235433242,4240.096969409367,0.07955362851662404,-410.92728,103.0681,-25.140764,59.557438,-29.269367,24.819372,-4.9699574,4.674508,0.07117472,-2.9634209,6.119825,-3.3851871,-0.44779456,-4.3169284,3.580279,-14.476728,4.6670365,-3.8117523,-0.050223395,4.790115,No PD
0.32185608,1154.0203723458922,975.0675543074461,1953.169189453125,0.0722607421875,-493.20874,164.35722,-59.3834,-12.838612,-17.506302,-24.774715,25.107525,13.554025,-14.355671,-9.795762,-19.627922,-15.078826,4.788643,-13.188346,-24.08491,-8.58654,-12.783789,-17.645851,-6.9876294,-7.9711056,No PD
